IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,bio,,,,,,,,,,,,,,,,,,,,,0.000161621,0.000168673,0.000156215,0.0001552,0.000138174,0.000144426,0.000158549,0.00016111,0.000219255,0.00022099,0.000266167,0.000271956,0.000286207,0.000266127,0.000323397,0.000241662,0.000243688,0.00024341,0.000226659,0.000251487,0.00027478,0.00025799,0.000278675,0.00056384,0.000601145,0.000693363,0.000583447,0.000640385,0.000846837,0.000970079,0.00093904,0.000974433,0.000974433
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,bio,0.001863175,0.001781245,0.00138565,0.001569047,0.001460992,0.00128607,0.001138514,0.001251306,0.001179262,0.001218788,0.001213759,0.001100882,0.001181578,0.000971789,0.000901471,0.000939706,0.001085204,0.000927488,0.000903209,0.000864613,0.000795665,0.000830833,0.000726024,0.000723107,0.000706617,0.000712675,0.000715022,0.000745341,0.0005457,0.000559521,0.000672325,0.000561523,0.000574611,0.00058478,0.000585059,0.000603718,0.000598945,0.000456043,0.000389984,0.000398601,0.000440342,0.001053155,0.001072583,0.00048082,0.000505887,0.000499629,0.00065489,0.000993155,0.000881841,0.000795609,0.000770152,0.000799179,0.000799179
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,CH4,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12E-05,,,1.31E-05,1.17E-06,3.08E-06,3.64E-06,3.07E-06,3.46E-06,3.35E-06
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,CH4,bio,0.002530768,0.002426771,0.002422086,0.00241051,0.002400079,0.002256125,0.002133767,0.002065709,0.002037055,0.001939308,0.002133697,0.002251086,0.002276447,0.002027289,0.002071052,0.002223726,0.002309472,0.002069036,0.001994371,0.002104332,0.0038407,0.003794359,0.003745535,0.003665197,0.003526129,0.003560775,0.003571178,0.00361373,0.003881314,0.003955751,0.003175523,0.003111751,0.003302111,0.003377681,0.003364954,0.003454761,0.003430393,0.003061125,0.003480403,0.005028037,0.004899228,0.008338866,0.009196196,0.009250966,0.013163055,0.011797084,0.014347574,0.013567528,0.013512685,0.009656761,0.015053198,0.0152606,0.0152606
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,CH4,bio,0.000139205,0.000134906,0.000135927,0.000162201,0.000163133,0.000159436,0.00012803,0.000123646,0.000122937,0.00011573,0.000113811,0.000117507,0.000117593,0.00010681,0.000147374,0.000162282,0.000165837,0.000154166,0.000141579,0.00013495,0.001476173,0.001472928,0.001452839,0.00138626,0.001364249,0.001367712,0.001355691,0.001321384,0.001370823,0.001423081,0.00179603,0.001978796,0.001974363,0.0023595,0.002435834,0.002482372,0.00259136,0.00279034,0.002642541,0.003236766,0.003383029,0.004465821,0.004678275,0.004692388,0.00159094,0.002108507,0.001709951,0.001810947,0.001883,0.001513916,0.002005083,0.00204189,0.00204189
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,CH4,bio,0.004200397,0.004123648,0.004260322,0.004395451,0.004354084,0.004417864,0.00511444,0.004966237,0.005029809,0.005600528,0.003865447,0.003832392,0.003767055,0.003530257,0.004212551,0.004763363,0.004888092,0.004210238,0.004600987,0.00429203,0.01320113,0.012471462,0.010917842,0.01105946,0.011198586,0.011094508,0.011560737,0.011658982,0.01216525,0.012304844,0.022011105,0.022432676,0.023689134,0.024004352,0.024249888,0.024596329,0.024710557,0.024606694,0.024735968,0.024660039,0.024597394,0.053092379,0.054751142,0.054294628,0.068844172,0.065383045,0.067542784,0.068761639,0.069892609,0.070029001,0.067289449,0.070395116,0.070395116
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,fossil,0.000266119,0.000304997,0.000430429,0.000492222,0.000503463,0.000595773,0.000635608,0.000745124,0.000775066,0.000781868,0.000861649,0.000807999,0.000756173,0.000783206,0.000868129,0.000909595,0.001038121,0.00113161,0.001261362,0.001642942,0.001408496,0.001463691,0.001684902,0.002193257,0.002526434,0.002770522,0.001810445,0.003125842,0.003167762,0.002989967,0.002358552,0.002402089,0.002517385,0.002974957,0.003054882,0.003373042,0.003721457,0.004239836,0.004243879,0.004490209,0.004114191,0.002560288,0.003246817,0.003521465,0.003674729,0.003794039,0.003967178,0.003721216,0.003869154,0.004595247,0.003895746,0.003754082,0.003895746
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,fossil,7.77E-06,8.91E-06,1.09E-05,1.04E-05,1.25E-05,1.53E-05,1.84E-05,2.07E-05,2.33E-05,2.25E-05,3.12E-05,3.92E-05,3.24E-05,4.21E-05,4.66E-05,5.59E-05,9.15E-05,9.65E-05,9.31E-05,0.000159347,0.00038733,0.000399703,0.000356872,0.000326408,0.000356912,0.000416292,0.000266215,0.00039819,0.000404544,0.000429603,0.00027724,0.000324199,0.000737324,0.000717449,0.000677601,0.000619519,0.000593953,0.000530923,0.0004083,0.000591038,0.000556427,0.000508357,0.000790537,0.001011764,0.001089592,0.001017085,0.000963328,0.000886902,0.001006671,0.001119266,0.000948959,0.000914452,0.000948959
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,CH4,fossil,5.38E-06,6.17E-06,3.64E-06,4.30E-06,5.95E-06,6.05E-06,7.35E-06,7.57E-06,9.04E-06,9.05E-06,9.82E-06,1.09E-05,1.16E-05,1.13E-05,1.07E-05,1.77E-05,1.84E-05,2.26E-05,2.27E-05,3.99E-05,1.09E-05,1.43E-05,1.82E-05,1.76E-05,1.72E-05,2.03E-05,1.37E-05,2.16E-05,9.76E-06,1.05E-05,8.31E-06,7.68E-06,7.40E-06,8.77E-06,9.51E-06,9.85E-06,9.94E-06,1.09E-05,1.08E-05,1.14E-05,1.23E-05,1.02E-05,1.34E-05,1.47E-05,1.47E-05,1.59E-05,1.77E-05,1.67E-05,1.82E-05,2.15E-05,1.24E-05,1.59E-05,2.14E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,CH4,fossil,0.000320146,0.000366731,0.000411458,0.000539294,0.000612333,0.001092571,0.001221509,0.001426106,0.001560359,0.001367085,0.002310329,0.002541024,0.003021253,0.003359166,0.004287157,0.004248023,0.004696518,0.00532302,0.005838212,0.007953882,0.013794901,0.016524294,0.019719271,0.020044298,0.022610107,0.024145203,0.015561895,0.025990044,0.026074986,0.025900999,0.019826737,0.019463791,0.019727219,0.021705898,0.022297326,0.024224521,0.02459588,0.025735483,0.024786084,0.028110341,0.028760627,0.017460519,0.021005223,0.023932979,0.025279649,0.024189516,0.023951429,0.023619464,0.026362983,0.029647746,0.025134695,0.024220706,0.025134695
