Country Name,Country Code,2015,2016,2017,2018,2019,2020
Aruba,ABW,104257.0,104874.0,105439.0,105962.0,106442.0,106585.0
Africa Eastern and Southern,AFE,600008424.0,616377605.0,632746570.0,649757148.0,667242986.0,685112979.0
Afghanistan,AFG,33753499.0,34636207.0,35643418.0,36686784.0,37769499.0,38972230.0
Africa Western and Central,AFW,408690375.0,419778384.0,431138704.0,442646825.0,454306063.0,466189102.0
Angola,AGO,28127721.0,29154746.0,30208628.0,31273533.0,32353588.0,33428486.0
Albania,ALB,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0
Andorra,AND,71746.0,72540.0,73837.0,75013.0,76343.0,77700.0
Arab World,ARB,406501999.0,415077960.0,423664839.0,432545676.0,441467739.0,449228296.0
United Arab Emirates,ARE,8916899.0,8994263.0,9068296.0,9140169.0,9211657.0,9287289.0
Argentina,ARG,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,45376763.0
Armenia,ARM,2878595.0,2865835.0,2851923.0,2836557.0,2820602.0,2805608.0
American Samoa,ASM,51368.0,50448.0,49463.0,48424.0,47321.0,46189.0
Antigua and Barbuda,ATG,89941.0,90564.0,91119.0,91626.0,92117.0,92664.0
Australia,AUS,23815995.0,24190907.0,24592588.0,24963258.0,25334826.0,25649248.0
Austria,AUT,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0
Azerbaijan,AZE,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10093121.0
Burundi,BDI,10727148.0,10903327.0,11155593.0,11493472.0,11874838.0,12220227.0
Belgium,BEL,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11538604.0
Benin,BEN,10932783.0,11260085.0,11596779.0,11940683.0,12290444.0,12643123.0
Burkina Faso,BFA,18718019.0,19275498.0,19835858.0,20392723.0,20951639.0,21522626.0
Bangladesh,BGD,157830000.0,159784568.0,161793964.0,163683958.0,165516222.0,167420951.0
Bulgaria,BGR,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,6934015.0
Bahrain,BHR,1362142.0,1409661.0,1456834.0,1487340.0,1494188.0,1477469.0
"Bahamas, The",BHS,392697.0,395976.0,399020.0,401906.0,404557.0,406471.0
Bosnia and Herzegovina,BIH,3524324.0,3480986.0,3440027.0,3400129.0,3360711.0,3318407.0
Belarus,BLR,9461076.0,9469379.0,9458989.0,9438785.0,9419758.0,9379952.0
Belize,BLZ,359871.0,367313.0,374693.0,382066.0,389095.0,394921.0
Bermuda,BMU,65237.0,64554.0,63873.0,63918.0,63911.0,63893.0
Bolivia,BOL,11090085.0,11263015.0,11435533.0,11606905.0,11777315.0,11936162.0
Brazil,BRA,205188205.0,206859578.0,208504960.0,210166592.0,211782878.0,213196304.0
Barbados,BRB,278083.0,278649.0,279187.0,279688.0,280180.0,280693.0
Brunei Darussalam,BRN,421437.0,425994.0,430276.0,434274.0,438048.0,441725.0
Bhutan,BTN,743274.0,749761.0,756121.0,762096.0,767459.0,772506.0
Botswana,BWA,2305171.0,2352416.0,2401840.0,2451409.0,2499702.0,2546402.0
Central African Republic,CAF,4819333.0,4904177.0,4996741.0,5094780.0,5209324.0,5343020.0
Canada,CAN,35704498.0,36110803.0,36545075.0,37072620.0,37618495.0,38028638.0
Central Europe and the Baltics,CEB,103257886.0,102994278.0,102740078.0,102538451.0,102398537.0,102180124.0
Switzerland,CHE,8282396.0,8373338.0,8451840.0,8514329.0,8575280.0,8638167.0
Channel Islands,CHI,162190.0,163721.0,165215.0,167259.0,169410.0,171113.0
Chile,CHL,17870124.0,18083879.0,18368577.0,18701450.0,19039485.0,19300315.0
China,CHN,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0
Cote d'Ivoire,CIV,23596741.0,24213622.0,24848016.0,25493988.0,26147551.0,26811790.0
Cameroon,CMR,23012646.0,23711630.0,24393181.0,25076747.0,25782341.0,26491087.0
"Congo, Dem. Rep.",COD,78656904.0,81430977.0,84283273.0,87087355.0,89906890.0,92853164.0
"Congo, Rep.",COG,5064386.0,5186824.0,5312340.0,5441062.0,5570733.0,5702174.0
Colombia,COL,47119728.0,47625955.0,48351671.0,49276961.0,50187406.0,50930662.0
Comoros,COM,730216.0,746232.0,761664.0,776313.0,790986.0,806166.0
Cabo Verde,CPV,552166.0,558394.0,564954.0,571202.0,577030.0,582640.0
Costa Rica,CRI,4895242.0,4945205.0,4993842.0,5040734.0,5084532.0,5123105.0
Caribbean small states,CSS,2969980.0,2993247.0,3016651.0,3058106.0,3090374.0,3106185.0
Cuba,CUB,11339894.0,11342012.0,11336405.0,11328244.0,11316697.0,11300698.0
Curacao,CUW,157980.0,159664.0,160175.0,159336.0,157441.0,154947.0
Cayman Islands,CYM,60911.0,62255.0,63581.0,64884.0,66134.0,67311.0
Cyprus,CYP,1187280.0,1197881.0,1208523.0,1218831.0,1228836.0,1237537.0
Czechia,CZE,10546059.0,10566332.0,10594438.0,10629928.0,10671870.0,10697858.0
Germany,DEU,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0,83160871.0
