Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,Experiment,LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),FUR LNLG,LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),FUR LNLGIS,LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),FUR LNLGOGIS
AFG,2015,1.19713,41.8719,2.82076,41.8719,22.2101,41.8643,-2.43286,1.69832,4.05648,1.21694,19.3894,0.797698,0.37,0.01,IS,,,,,,,,,,,,,,,,,,,,,
AFG,2015,,,,,,,-2.43286,1.69832,4.05648,1.21694,19.3894,0.797698,0.37,,LNLG,54.6349,179.753,56.2585,179.753,75.6478,179.751,0.2,,,,,,,,,,,,,,
AFG,2015,,,,,,,-2.43286,1.69832,4.05648,1.21694,19.3894,0.797698,0.37,,LNLGIS,,,,,,,,39.3407,153.746,40.9643,153.746,60.3537,153.744,0.19,,,,,,,
AFG,2015,,,,,,,-2.43286,1.69832,4.05648,1.21694,19.3894,0.797698,0.37,,LNLGOGIS,,,,,,,,,,,,,,,-0.976738,112.483,0.646889,112.483,20.0363,112.48,0.03
AFG,2016,-1.2669,32.3623,0.627724,32.3623,21.1497,32.3552,-2.16185,2.24033,4.05648,1.21694,20.522,0.67808,0.31,0.01,IS,,,,,,,,,,,,,,,,,,,,,
AFG,2016,,,,,,,-2.16185,2.24033,4.05648,1.21694,20.522,0.67808,0.31,,LNLG,67.5523,234.094,69.447,234.094,89.9689,234.093,0.2,,,,,,,,,,,,,,
AFG,2016,,,,,,,-2.16185,2.24033,4.05648,1.21694,20.522,0.67808,0.31,,LNLGIS,,,,,,,,50.6167,175.454,52.5114,175.454,73.0333,175.452,0.19,,,,,,,
AFG,2016,,,,,,,-2.16185,2.24033,4.05648,1.21694,20.522,0.67808,0.31,,LNLGOGIS,,,,,,,,,,,,,,,17.6834,117.572,19.578,117.572,40.1,117.57,0.03
AFG,2017,-0.0733159,43.444,1.88968,43.444,22.9525,43.4384,-2.09349,2.37705,4.05648,1.21694,21.0629,0.695856,0.47,0.01,IS,,,,,,,,,,,,,,,,,,,,,
AFG,2017,,,,,,,-2.09349,2.37705,4.05648,1.21694,21.0629,0.695856,0.47,,LNLG,77.119,233.244,79.082,233.244,100.145,233.243,0.2,,,,,,,,,,,,,,
