Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
AFG,2015,1.19713,41.8719,54.6349,179.753,39.3407,153.746,-0.976738,112.483,2.82076,41.8719,56.2585,179.753,40.9643,153.746,0.646889,112.483,22.2101,41.8643,75.6478,179.751,60.3537,153.744,20.0363,112.48,-2.43286,1.69832,4.05648,1.21694,19.3894,0.797698,0.37,0.01,0.2,0.19,0.03
AFG,2016,-1.2669,32.3623,67.5523,234.094,50.6167,175.454,17.6834,117.572,0.627724,32.3623,69.447,234.094,52.5114,175.454,19.578,117.572,21.1497,32.3552,89.9689,234.093,73.0333,175.452,40.1,117.57,-2.16185,2.24033,4.05648,1.21694,20.522,0.67808,0.31,0.01,0.2,0.19,0.03
AFG,2017,-0.0733159,43.444,77.119,233.244,54.5096,179.794,10.3165,127.746,1.88968,43.444,79.082,233.244,56.4726,179.794,12.2794,127.746,22.9525,43.4384,100.145,233.243,77.5355,179.793,33.3423,127.744,-2.09349,2.37705,4.05648,1.21694,21.0629,0.695856,0.47,0.01,0.2,0.19,0.03
AFG,2018,-0.0930967,40.5731,131.62,320.432,116.426,243.057,44.2289,183.101,1.94139,40.5731,133.654,320.432,118.461,243.057,46.2634,183.101,27.4388,40.5672,159.152,320.431,143.958,243.056,71.7609,183.099,-2.02199,2.52005,4.05648,1.21694,25.4974,0.695856,0.39,0.01,0.2,0.19,0.03
AFG,2019,-8.3467,40.9813,91.3044,241.299,64.0162,181.516,13.0618,121.0,-6.32405,40.9813,93.327,241.299,66.0388,181.516,15.0844,121.0,21.5345,40.9735,121.186,241.298,93.8974,181.514,42.943,120.997,-2.03383,2.49637,4.05648,1.21694,27.8585,0.797698,0.49,0.01,0.2,0.19,0.03
AFG,2020,3.15523,34.3206,103.613,201.699,86.0661,196.98,14.6547,108.783,5.06291,34.3206,105.521,201.699,87.9738,196.98,16.5624,108.783,30.776,34.3113,131.234,201.698,113.687,196.978,42.2754,108.78,-2.14881,2.26643,4.05648,1.21694,25.7131,0.797698,0.5,0.01,0.2,0.19,0.03
AFG,mean,-0.299316,34.6037,90.5437,240.881,68.4959,197.973,12.9166,135.248,1.60836,34.5079,92.4513,240.867,70.4036,197.956,14.8243,135.223,24.9489,34.4999,115.792,240.866,93.7441,197.955,38.1648,135.221,-2.14881,2.26643,4.05648,1.21694,23.3405,0.743815,0.4,0.01,0.2,0.19,0.03
AGO,2015,192.577,308.678,-98.4819,272.388,-80.0936,237.9,49.8006,226.39,177.402,308.678,-113.657,272.388,-95.2686,237.9,34.6255,226.39,192.063,308.659,-98.9957,272.367,-80.6073,237.875,49.2869,226.364,-20.5043,11.7202,5.32926,1.59878,14.6613,3.43854,-1.03,0.18,0.69,0.72,0.71
AGO,2016,328.722,138.506,-230.727,304.473,-241.412,299.022,-145.696,159.431,312.818,138.506,-246.63,304.473,-257.315,299.022,-161.599,159.431,327.901,138.463,-231.548,304.453,-242.233,299.003,-146.517,159.394,-21.2327,10.2634,5.32926,1.59878,15.0825,3.44928,-1.14,0.18,0.69,0.72,0.71
AGO,2017,4.73923,249.545,-511.968,395.618,-458.853,434.707,-223.45,385.472,-11.9314,249.545,-528.638,395.618,-475.523,434.707,-240.12,385.472,3.73483,249.516,-512.972,395.6,-459.857,434.69,-224.454,385.454,-21.9999,8.72909,5.32926,1.59878,15.6662,3.78888,-2.88,0.18,0.69,0.72,0.71
AGO,2018,83.9213,169.413,-295.996,129.999,-213.561,159.827,-99.6736,281.082,67.2801,169.413,-312.638,129.999,-230.202,159.827,-116.315,281.082,83.4183,169.371,-296.499,129.944,-214.064,159.782,-100.177,281.057,-21.9705,8.78776,5.32926,1.59878,16.1382,3.78888,-1.84,0.18,0.69,0.72,0.71
AGO,2019,256.044,161.576,-43.6428,294.548,-36.8403,302.787,138.826,348.949,238.221,161.576,-61.4659,294.548,-54.6634,302.787,121.003,348.949,254.774,161.539,-44.9125,294.528,-38.11,302.767,137.557,348.932,-23.1523,6.42412,5.32926,1.59878,16.5534,3.43854,-1.31,0.18,0.69,0.72,0.71
AGO,2020,98.4686,137.005,-329.843,174.964,-390.581,232.291,-132.201,109.911,82.026,137.005,-346.286,174.964,-407.023,232.291,-148.644,109.911,97.3307,136.962,-330.981,174.93,-391.719,232.266,-133.339,109.857,-21.7719,9.1849,5.32926,1.59878,15.3048,3.43854,-1.72,0.18,0.69,0.72,0.71
AGO,mean,155.08,148.47,-289.308,228.876,-270.371,190.959,-134.552,200.199,138.637,148.177,-305.751,228.686,-286.814,190.732,-150.994,199.982,154.205,148.134,-290.183,228.658,-271.246,190.698,-135.426,199.95,-21.7719,9.1849,5.32926,1.59878,15.5677,3.55711,-2.51,0.18,0.69,0.72,0.71
ALB,2015,-2.46186,7.61818,-7.97734,8.88803,-11.6444,6.642,-7.6966,6.88249,-3.57087,7.61818,-9.08635,8.88803,-12.7534,6.642,-8.8056,6.88249,0.110653,7.61078,-5.40483,8.88169,-9.07187,6.63352,-5.12408,6.8743,-2.22772,1.36653,1.11871,0.335614,3.68152,0.335639,-0.58,0.04,0.1,0.05,0.12
ALB,2016,-3.59018,5.51036,-9.95989,8.00242,-7.94527,12.1443,-6.01304,5.54704,-4.49624,5.51036,-10.866,8.00242,-8.85134,12.1443,-6.91911,5.54704,-0.652556,5.5003,-7.02227,7.99549,-5.00765,12.1397,-3.07542,5.53704,-2.02478,1.77241,1.11871,0.335614,3.84369,0.332926,-1.05,0.04,0.1,0.05,0.12
ALB,2017,-1.10061,7.45167,-9.03908,3.93254,-6.68925,10.007,-4.15836,6.69426,-1.99429,7.45167,-9.93276,3.93254,-7.58293,10.007,-5.05204,6.69426,1.93718,7.44091,-6.00129,3.91212,-3.65146,9.99903,-1.12056,6.68229,-2.01239,1.79718,1.11871,0.335614,3.93147,0.400217,-0.63,0.04,0.1,0.05,0.12
ALB,2018,-8.26333,6.20027,-5.20331,9.70583,-8.49532,8.00382,-2.87851,4.89171,-8.99772,6.20027,-5.9377,9.70583,-9.22971,8.00382,-3.61291,4.89171,-4.90251,6.18734,-1.84249,9.69758,-5.1345,7.99381,0.4823,4.87531,-1.85311,2.11575,1.11871,0.335614,4.09521,0.400217,0.37,0.04,0.1,0.05,0.12
ALB,2019,-2.02351,5.1562,-3.4719,9.10326,-6.71667,10.9141,-6.79368,4.74763,-2.95613,5.1562,-4.40452,9.10326,-7.64928,10.9141,-7.7263,4.74763,1.40777,5.14527,-0.0406168,9.09707,-3.28538,10.909,-3.3624,4.73575,-2.05133,1.71931,1.11871,0.335614,4.3639,0.335639,-0.22,0.04,0.1,0.05,0.12
ALB,2020,-1.27082,8.05646,-15.9378,6.13899,-9.84273,9.98725,-5.02293,7.87883,-2.18597,8.05646,-16.853,6.13899,-10.7579,9.98725,-5.93808,7.87883,1.72523,8.04947,-12.9418,6.1298,-6.84668,9.98161,-2.02688,7.87167,-2.03387,1.75424,1.11871,0.335614,3.9112,0.335639,-1.87,0.04,0.1,0.05,0.12
ALB,mean,-2.51789,5.49232,-9.1088,6.47683,-9.66311,5.81607,-5.68058,4.6128,-3.43304,5.1938,-10.024,6.2257,-10.5783,5.53504,-6.59574,4.253,0.538121,5.18154,-6.05279,6.21547,-6.60709,5.52353,-2.62457,4.23801,-2.03387,1.75424,1.11871,0.335614,3.97116,0.356713,-1.03,0.04,0.1,0.05,0.12
ARE,2015,-11.2954,11.326,-11.383,11.2965,-11.3546,11.3096,-11.5529,11.3044,0.48009,11.326,0.392422,11.2965,0.420864,11.3096,0.222525,11.3044,248.225,0.934979,248.137,0.455294,248.166,0.709842,247.967,0.620807,-0.0460533,0.018351,11.8215,3.54645,247.745,11.2873,-0.17,0.01,-0.06,0.02,-0.02
