

year,riverEmissions,River unc (TgCO2),woodCropEmissions,Wood+Crop unc (TgCO2),fossilFuelEmissions,FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),netBiosphereEmissions,netCarbonEmissions,Mean FUR,isoa2,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon
2015,0.3508530171637599,-0.38354186365603715,0.15893571044039648,0.15893556976776194,-0.3541517008586333,-0.4168581154541232,0.2754778867372389,0.07522931969712764,0.15743209173710593,-0.319710080155654,-1.0172884756211547,AF,-0.06523212597616514,0.031759247657990555,-0.2972593192563771,-0.4758351677582605,-0.2750038146268271,-0.2834353601781477
2016,0.3534342854903052,-0.3664136126362427,0.15893571044039648,0.15893556976776194,-0.35285816879221993,-0.4202632282187911,0.20807941347725423,0.09538719714935212,0.17751595565769931,-0.3036404221201712,-1.0172884756211547,AF,-0.07036933532730608,0.017743134689549186,-0.29857472893468034,-0.4756590953430625,-0.26136954518784467,-0.28762722217071734
2017,0.3540853887809684,-0.36209307523024226,0.15893571044039648,0.15893556976776194,-0.3522404118659237,-0.41975720667935107,0.38780867550388,0.09902368665474277,0.18117671381342348,-0.30024394109803804,-1.0172884756211547,AF,-0.041682826334571405,-0.005592444215154006,-0.2958762660867006,-0.4756036991187467,-0.2684262808374488,-0.28059290875006704
2018,0.3547663993907171,-0.3575740813079335,0.15893571044039648,0.15893556976776194,-0.34717581011021964,-0.41975720667935107,0.29794404449056716,0.17404145975747803,0.2541037399380846,-0.24144304892326682,-1.0172884756211547,AF,-0.018663988614537764,0.027560738853559703,-0.2979071960794831,-0.47266340098726856,-0.28332227919025593,-0.2799839258028205
2019,0.3546536278435923,-0.3583224014203829,0.15893571044039648,0.15893556976776194,-0.3444792194674431,-0.4168581154541232,0.41027483325720826,0.10808906053264969,0.19008821498332948,-0.28432043437379007,-1.0172884756211547,AF,-0.055636973404218366,0.008708999300465389,-0.29942100667665167,-0.47331787372936024,-0.2432426109960273,-0.2690045117834637
2020,0.35355848658612515,-0.3655888172420311,0.15893571044039648,0.15893556976776194,-0.34692946111964457,-0.4168581154541232,0.42150791213387234,0.1317723995532678,0.212845308434291,-0.27090291264459376,-1.0172884756211547,AF,-0.059268919050974686,0.021930689879481144,-0.2968926000606435,-0.47310041842199185,-0.2261727648534271,-0.2731974705978366
2015,0.17872934760520345,-0.06683686498395092,0.18888063456379942,0.18888098855930355,-0.35955162048004374,-0.3416824328338578,-1.2971531559957368,0.060060124018087774,0.11017427968345612,-0.36040504648014277,1.422204697910197,AO,-0.21895625772962374,-0.1002275648951575,-0.28467194355640874,-0.08602835614075513,-0.15445644647682163,-0.2182911922954157
2016,0.17179161154728817,-0.11287372055052076,0.18888063456379942,0.18888098855930355,-0.3590705718252907,-0.34137670199826003,-1.4207170236390418,-0.11607520639592844,-0.062137412558682825,-0.48411105831285767,1.422204697910197,AO,-0.24304002785051707,-0.11088002416195923,-0.2855542066043899,-0.1423796898332056,-0.14074988186167084,-0.23061701527732154
2017,0.16448432008156524,-0.16135999722840647,0.18888063456379942,0.18888098855930355,-0.35840393341175936,-0.33170945881678915,-3.375272748178597,-0.5654624883935875,-0.499655860386293,-0.7988921890879039,1.422204697910197,AO,-0.2317265289706916,-0.10957380067408842,-0.28252933545734715,-0.06714950039697457,-0.12957757164394793,-0.23265848930626712
2018,0.16476434402459475,-0.1595059456660158,0.18888063456379942,0.18888098855930355,-0.35786486654318517,-0.33170945881678915,-2.20703254500553,-0.2339577037531344,-0.17794663284985748,-0.5661726093320818,1.422204697910197,AO,-0.22815697824847977,-0.13109979120380028,-0.28009313876388137,-0.10627676200273808,-0.11346178973450301,-0.23202414559984505
2019,0.1535081434847207,-0.23420017499836562,0.18888063456379942,0.18888098855930355,-0.3573906704333716,-0.3416824328338578,-1.6116793645423317,0.18512373434456617,0.22639216336803852,-0.27392929970340646,1.422204697910197,AO,-0.23058888287796248,-0.1341354874817733,-0.27885878302771233,-0.14073288663450512,-0.09839979396723374,-0.23266034013614148
2020,0.166655934333631,-0.1469557831044373,0.18888063456379942,0.18888098855930355,-0.3588166850352821,-0.3416824328338578,-2.0722355984855603,-0.3481723110986104,-0.2883821643817399,-0.6469982665791265,1.422204697910197,AO,-0.2360033005176785,-0.12538255535865309,-0.27571672088035337,-0.10214412982823816,-0.09578110487420174,-0.2448276171774238
2015,0.3528068985131843,-0.3940268775964766,0.0898182669371913,0.08981846270230462,-0.3720915264593524,-0.43001134489224835,-0.7916646065458516,0.013354416805776403,0.09210276699854524,-0.38878195378623104,-1.1738334921044498,AL,-0.35552120407003046,-0.3597683452259185,-0.3490390070337583,-0.4637717910012144,-0.35322830444357345,-0.2982406776610347
2016,0.35473982569000106,-0.3812005191825836,0.0898182669371913,0.08981846270230462,-0.3719063135905459,-0.4300885746647788,-1.319619313749065,0.014488252581976316,0.09359598400704683,-0.3874782481110848,-1.1738334921044498,AL,-0.3543493946860575,-0.3600997219927508,-0.34906579155020134,-0.4637318330336749,-0.3524803778638487,-0.2993060702089016
2017,0.3548578357802778,-0.38041775359198504,0.0898182669371913,0.08981846270230462,-0.37180606085808093,-0.4281730314936234,-0.8478300009291722,0.017742838686272314,0.09677786847103814,-0.38506040590993634,-1.1738334921044498,AL,-0.3593411743731369,-0.3590347513803907,-0.35115130995422195,-0.4619628393999091,-0.3513871158273633,-0.29650445910385065
2018,0.35637491787707176,-0.3703505095791884,0.0898182669371913,0.08981846270230462,-0.3716190549066819,-0.4281730314936234,0.2754778867372389,0.01581977171891565,0.09522049242355966,-0.3859550133159214,-1.1738334921044498,AL,-0.3566506228925425,-0.3608438890019288,-0.3536020475079599,-0.46116256876350087,-0.3524515018562766,-0.2977015321969069
2019,0.35448694692512234,-0.38287855119149683,0.0898182669371913,0.08981846270230462,-0.3713121865233827,-0.43001134489224835,-0.3872737669859436,0.018731799494774385,0.09766201770323374,-0.383818433025664,-1.1738334921044498,AL,-0.3545665150193094,-0.3580034429396094,-0.3550652074151258,-0.46123187737874144,-0.35211025356549003,-0.2972236424004092
2020,0.3546532468586358,-0.3817747158229217,0.0898182669371913,0.08981846270230462,-0.3718292110390682,-0.43001134489224835,-2.240731781635522,0.012209471353467371,0.09136731332456716,-0.388991540844536,-1.1738334921044498,AL,-0.3532421765027253,-0.36060070618418194,-0.35471972359650816,-0.46116829928850267,-0.35125591408877854,-0.2993931592044615
2015,0.0018666061727091884,-0.34665581277536217,-2.6208118961716163,-2.6208139625620723,-0.1503631816482714,0.11250321202762652,-1.431950102515706,-0.44983912321060393,-0.6518667760771777,-0.6541685183730696,1.5787497143934925,AR,0.5461141584611929,1.9003972048609252,0.021101875594153333,0.1522465277716486,0.01785562148501889,0.1006360895351926
2016,-0.0033176466229021305,-0.312257736660445,-2.6208118961716163,-2.6208139625620723,-0.14990634531897123,0.10994122178518723,-2.061002519608896,-1.2456228272890355,-1.4250581585324291,-1.2113388846922066,1.5787497143934925,AR,0.28443669360545826,1.8962435420948887,0.03274993907081327,0.09058616844000428,0.04090573981072939,0.08338145328691109
2017,0.01333520582583359,-0.422761453475209,-2.6208118961716163,-2.6208139625620723,-0.15535411854587577,0.099864060164926,-1.836340942075614,-1.2000951150686536,-1.3774921414480912,-1.1836944899237496,1.5787497143934925,AR,0.4248961107226337,1.631755349892193,0.05316017933671039,0.0978144127049253,0.10018083332221621,0.08610980753858798
2018,0.0268249306732051,-0.36214995767122243,-2.6208118961716163,-2.6208139625620723,-0.15911730780848599,0.099864060164926,-1.5779801279123395,-0.9249085376632655,-1.1077428251778696,-0.9937166480594356,1.5787497143934925,AR,0.2005121948273486,1.7526569647879575,0.023590469940201416,0.09873406824481834,0.0543454315161089,0.08208221648492285
2019,0.030972904387128887,-0.33462580853519064,-2.6208118961716163,-2.6208139625620723,-0.16542507542529813,0.11250321202762652,-2.0834686773622244,-1.6163920471040012,-1.777832147717648,-1.4847895948386078,1.5787497143934925,AR,0.5050108262277603,1.229728714094315,0.006949318778176993,0.1525916110061029,0.14967021418806634,0.06331881263171185
2020,0.013936209594716682,-0.3556903244708088,-2.6208118961716163,-2.6208139625620723,-0.18067198791569142,0.11250321202762652,-0.9152284741891568,-1.148489571550464,-1.3273014584172316,-1.1784619306577264,1.5787497143934925,AR,0.41976928920642775,1.1639289229072687,0.008755140972037159,0.13357020594296154,0.137927064154364,0.021103063820176772
2015,-0.10599690224996126,0.1684510318590584,-1.1715917224761325,-1.1715934055891641,0.0681804657439922,-0.23169619172593858,-1.7240101533089727,0.22987092444154109,0.10502483037309311,0.15917088861068882,1.8396580751989848,AU,-0.2906464933736751,0.19357671874735696,0.3357522943394505,-0.10083128667202845,-0.2788407359232232,0.3659139960863135
2016,-0.07446182493783644,-0.040809988099940145,-1.1715917224761325,-1.1715934055891641,0.07618994868744747,-0.22939353182915065,-2.4204610436621476,-1.684183031196594,-1.7457372773232114,-1.1660504916403334,1.8396580751989848,AU,-0.20890012960046306,0.3422377575313554,0.3663538572732538,-0.0850293875148744,-0.2738313087444685,0.36327945829830616
2017,-0.2075141537596869,0.8420908195728534,-1.1715917224761325,-1.1715934055891641,0.07104711371035079,-0.23105540949974632,-1.5442808912823471,-0.7556416921360981,-0.8718469539118252,-0.5419742626772114,1.8396580751989848,AU,0.10732652267894377,0.599916088412432,0.4130050777693671,-0.09688452268528164,-0.2478538342827204,0.39055184128993997
2018,-0.23250009966952925,1.007893654623047,-1.1715917224761325,-1.1715934055891641,0.07139202513897244,-0.23105540949974632,-1.3757847081323855,0.693562653078412,0.5292100914137423,0.4690777334320474,1.8396580751989848,AU,-0.10893701169497123,0.5181075177082821,0.43450082587866534,-0.09202914049018912,-0.27600620315250335,0.3855003050752668
2019,-0.1424457330385804,0.4103120107708805,-1.1715917224761325,-1.1715934055891641,0.08865472793240277,-0.23169619172593858,0.5113725431471852,1.239677098714027,1.077409249439051,0.8856358673225753,1.8396580751989848,AU,-0.22206436993868303,0.1905667846055478,0.4046377990915742,-0.0874736313870435,-0.28576210994803025,0.37822779097143144
2020,-0.15258374273111885,0.47758813777230186,-1.1715917224761325,-1.1715934055891641,0.047716482372990913,-0.23169619172593858,-0.7804315276691874,-0.15237565884027135,-0.2753370903718165,-0.14023382478919152,1.8396580751989848,AU,-0.3714582421090735,0.4514696830843242,0.3921314837822858,-0.07955804292423882,-0.29270261598958563,0.3374249722601219
2015,0.3449519411724886,-0.42871439053191424,0.14238928003863965,0.1423896750038832,-0.29625215027404705,-0.4051901856257732,-0.3086422148492948,-0.03198469044597885,0.050841817365061236,-0.3257625748252656,0.6003433613728969,AT,-0.23027649657645108,-0.24519967695451897,-0.14040207669766266,-0.42243261137806815,-0.14907235676682135,-0.12518328290050643
2016,0.3455392294829376,-0.42481727969629857,0.14238928003863965,0.1423896750038832,-0.29509486964284737,-0.40503988219821674,-0.4771383979992565,-0.0607191739713072,0.023080551316643813,-0.3443718214794635,0.6003433613728969,AT,-0.21825111902885133,-0.23494234032668773,-0.14033715716346828,-0.42132288035689586,-0.11349292358523518,-0.12945691614419397
2017,0.3476133115861386,-0.41105432029031186,0.14238928003863965,0.1423896750038832,-0.2927042451316195,-0.4034972794066858,-0.4996045557525848,-0.056110554916537186,0.02797410053977805,-0.3379172709799493,0.6003433613728969,AT,-0.24209359895834628,-0.22634323997399686,-0.12744811444445836,-0.42286357621060305,-0.14285167243272295,-0.11837706946454024
2018,0.34568914706332143,-0.4238225322089808,0.14238928003863965,0.1423896750038832,-0.2941210087978617,-0.4034972794066858,-0.62316842339589,-0.04592638569766202,0.03746425338486438,-0.3328049791528798,0.6003433613728969,AT,-0.24338567662420124,-0.23287939192224213,-0.0941863963483467,-0.425756256713294,-0.1590348379841274,-0.12024783221874248
2019,0.34725651917437383,-0.41342141986898695,0.14238928003863965,0.1423896750038832,-0.29241563878058413,-0.4051901856257732,0.09574862471061311,-0.03196043481889426,0.051333966442819574,-0.32071396221434834,0.6003433613728969,AT,-0.2325150655977207,-0.23795302235215163,-0.10263746394440557,-0.4233472358038892,-0.15243910732546512,-0.12226854647112043
2020,0.34621004874509986,-0.42036597587875607,0.14238928003863965,0.1423896750038832,-0.29864140427628694,-0.4051901856257732,-0.039048321809356204,-0.04682544097811845,0.03669791872427934,-0.33888806639380575,0.6003433613728969,AT,-0.22203897963879324,-0.24144606421921214,-0.07632499388415412,-0.42562487571087815,-0.1389319209124981,-0.14751270956131599
2015,0.368518079969556,-0.40240250101723696,0.13532195044717135,0.13532210444686002,-0.33537766927879575,-0.36053469570005614,0.6461694896671545,0.03525065512419537,0.12028986136825606,-0.32353369746693134,-0.4824263359698956,AZ,-0.2561834897195474,-0.24520694342528912,-0.34671325731556724,-0.4696958868550629,-0.3246388315103383,-0.24296410069657093
2016,0.3684850295245794,-0.4026218144285714,0.13532195044717135,0.13532210444686002,-0.33505491441214513,-0.36044189472016336,2.2075674535234655,0.017191093042274654,0.10276027149996829,-0.3357834758083218,-0.4824263359698956,AZ,-0.2613413792495366,-0.26012560479360025,-0.3399335751589294,-0.46551687479657605,-0.3237651791732044,-0.24561462952258495
2017,0.3685090506260869,-0.40246222758026606,0.13532195044717135,0.13532210444686002,-0.3352907561671464,-0.36150796732660057,-0.23001066271264606,0.029484758177913434,0.11469347987277133,-0.3274642036434999,-0.4824263359698956,AZ,-0.2572928743637883,-0.24892957618700914,-0.3371264555361277,-0.4602420886331605,-0.3234178847170217,-0.24492212901981442
2018,0.3685226041659145,-0.4023724797289419,0.13532195044717135,0.13532210444686002,-0.3338388161035481,-0.36150796732660057,1.2527557490070165,0.056310064326456404,0.14072439857676597,-0.306910941950069,-0.4824263359698956,AZ,-0.2549384786454839,-0.24795684379206884,-0.33138217863622893,-0.4667109643683227,-0.3208257001123674,-0.24373138890646145
