Alpha 3 Code,Year,Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),Mean NBE (TgCO2),Mean NCE (TgCO2),Mean FUR
AFG,2015,-2.43286,1.69832,4.05648,1.21694,19.3894,0.797698,0.37,23.548998,25.17261225,44.561975000000004,0.10750000000000001
AFG,2016,-2.16185,2.24033,4.05648,1.21694,20.522,0.67808,0.31,33.646375,35.541031000000004,56.062975,0.10750000000000001
AFG,2017,-2.09349,2.37705,4.05648,1.21694,21.0629,0.695856,0.47,35.467946024999996,37.43092,58.493824999999994,0.10750000000000001
AFG,2018,-2.02199,2.52005,4.05648,1.21694,25.4974,0.695856,0.39,73.045450825,75.0799475,100.577425,0.10750000000000001
AFG,2019,-2.03383,2.49637,4.05648,1.21694,27.8585,0.797698,0.49,40.008925000000005,42.03153749999999,69.890225,0.10750000000000001
AFG,2020,-2.14881,2.26643,4.05648,1.21694,25.7131,0.797698,0.5,51.8722575,53.780027499999996,79.4931,0.10750000000000001
AFG,mean,-2.14881,2.26643,4.05648,1.21694,23.3405,0.743815,0.4,42.914221,44.821889999999996,68.16245,0.10750000000000001
AGO,2015,-20.5043,11.7202,5.32926,1.59878,14.6613,3.43854,-1.03,15.950525000000003,0.7754749999999966,15.436725,0.575
AGO,2016,-21.2327,10.2634,5.32926,1.59878,15.0825,3.44928,-1.14,-72.27825000000001,-88.1815,-73.09925,0.575
AGO,2017,-21.9999,8.72909,5.32926,1.59878,15.6662,3.78888,-2.88,-297.3829425,-314.05310000000003,-298.3870425,0.575
AGO,2018,-21.9705,8.78776,5.32926,1.59878,16.1382,3.78888,-1.84,-131.327325,-147.968725,-131.83042500000002,0.575
AGO,2019,-23.1523,6.42412,5.32926,1.59878,16.5534,3.43854,-1.31,78.59672499999999,60.773675,77.327125,0.575
AGO,2020,-21.7719,9.1849,5.32926,1.59878,15.3048,3.43854,-1.72,-188.53910000000002,-204.98175,-189.677075,0.575
AGO,mean,-21.7719,9.1849,5.32926,1.59878,15.5677,3.55711,-2.51,-134.78775,-151.2305,-135.66249999999997,0.575
ALB,2015,-2.22772,1.36653,1.11871,0.335614,3.68152,0.335639,-0.58,-7.445049999999999,-8.554055,-4.87253175,0.0775
ALB,2016,-2.02478,1.77241,1.11871,0.335614,3.84369,0.332926,-1.05,-6.877095,-7.7831725,-3.9394739999999997,0.0775
